,Comment
694,"At <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3759"">1:02:39</a> i see that your using some kind of extension in vs code. Can anyone text its name ? And when i use &quot;git branch diff main&quot; in my vs terminal it stops after showing that result and doesn&#39;t move forward. Can any give the solution for this one too?"
695,I needed this tutorial so badly! Thank you for uploading this
696,Great explanation mam! I doesn&#39;t need to repeat it on any point. and it is very easy to understand as compared to another or older videos of others.
697,Dii JavaScript please
698,Well explained.Thank you Ma&#39;am.<br>❤🤩❤
699,You are so good at explaining the concept!!! Thanks
700,Command git branch is not showing any thing in my terminal anyone has idea whyyy?
701,Thank You Shradha Didi for your wonderful class on Github and Git... this class was awesome and i really liked the way you took the examples...by related each and everything with real life Thank You!
702,"Ma&#39;am aap kon sa teaching tool use kr rhi hai. Instant colour change , best visualisation ho rha hai."
703,Please design full tutorial on Angular
704,"Hmari didi kyo hoti tu,iss aman ki didi hogi,hum fo tujhe sali bna sakte hai"
705,Mam you explain very well and easy to understand
706,Thank you for the tutorial didi
707,Thank you di.please make viedo on javascript .
708,"Thanks a ton mam for uploading such a knowledge heavy video ,which cleared all my confusion .You explained so well 👏👏👏👏."
709,"Hey... In my local machine, the command &quot; ls -a &quot;(Hidden files) is actually not working.... what can I do to resolve this?"
710,Thankyou shardha mam &amp; aman dattarwal sir
711,"aayin<a href=""UCkszU2WH9gy1mb0dV-11UJg/2sIfY8vIG8z96ALulYDQDQ""></a>"
712,thank you
713,Nice thanks for the information
714,Thanks a lot
715,Mera account hai GitHub pr o 1 sal Purna hai ab mujhe upload karna chalu karna hai to me usi account se Kru ya Naya ACC khol luu
716,Thank you so much
717,What is the difference between branching and forking? At the end of the day we are pull requesting on the main branch or the repo? Please provide some examples for clear understanding.<br>Thanks in advance.
718,Bhaiya 12th pass hone ke baad bhi it sector me inki vajah se aa paya .<br>Inki avaj sunker hi coding sikhi or aaj mis team lead hu .<br>With amazing package thanks a lot di
719,Mam can you please take background in white
720,Very nice video. Like the on screen annotations as you go through. What software did you use for it? Keep up the great work!
721,Best video with Very nice explanations of the concept
722,git explained best possible way thank you mam for this video
723,"Thanks for the tutorial,learned a lot from you"
724,Very Helpful Tutorial Completed in One Shot Make more useful tutorials like this.
725,"pathspec &#39;remote&#39; did not match any files,,,any solution guys?"
726,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a> Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=67"">1:07</a> Git Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=300"">5:00</a> GitHub Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=445"">7:25</a> Setting Up GitHub<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=986"">16:26</a> Setting Up Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1213"">20:13</a> Configuring Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1383"">23:03</a> Working with VS Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1442"">24:02</a> Clone and Status<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1943"">32:23</a> Add and Commit<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2155"">35:55</a> Push Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2371"">39:31</a> Init Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a> Work Flow<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2976"">49:36</a> Git Branches<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3085"">51:25</a> Branch Commands<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3355"">55:55</a> Merging Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3432"">57:12</a> Pull Request<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3616"">1:00:16</a> Pull Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3650"">1:00:50</a> Resolving Merge Conflicts<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3931"">1:05:31</a> Undoing Changes<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4284"">1:11:24</a> Fork"
727,Please somebody help me out
728,I am stuck in an error and unable to push my code. Tried to sign up with my access token but again unable to access
729,thank you.
730,why do i need to sign up for notes?
731,I used  to follow your channel from the first year of my engineering if you have made this tutorial it would have saved my lot of time.
732,It was very useful and easy to understand. Thanks
733,"hello<br>ls -a not working , git add .a not working  its say a is ambiguous. how to fix it?"
734,Finally found a perfect video which I was looking for GIT. Can you do the same for Jenkins and Linux for beginners ?
735,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2456"">40:56</a> ls -a shown error , someone please help me"
736,"just completed it , now everything is clear ... Thank you"
737,Mam plz backend devlopement pr koi video bnao......plzzzz
738,ls -a is not working in my system.
739,JavaScript please 🥺
740,"Hi , Actually i am beginner in github , facing this problem in vs code terminal  is not working fine"
741,"The way she Blushed at  <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1982"">33:02</a>"
742,&quot;ls -a&quot;   command not working
743,Thank you shraddha didi for this tutorial. God bless you always
744,@ApnaCollegeOffical can I get the ppt u used for this lecture
745,please JavaScript
746,Please make tutorial for OS as well
747,This was superbly explained.
748,malum h aap ki sadi ho gai h pr (video me aap ne sadi ka nam itne bar liya ki muje bhi sadi kr na h)
749,Maza a gya.... Bht acha caurse tha<br>highly recomanded
750,Wonderful beta. Good tutorial for almost 40 plus guy. Easy to understand
751,Dear Didi... today I got many achievements with reference to git and GitHub. I am thrilled and excited. You did a great job. you are really a good didi. I don&#39;t know what a daughter is called in Hindi.
752,Thank you so much mam
753,"+di please backend pe koi tutorial nhi h apke channel se and dusre chanel ki  videos se smjh nhi ata, so please didi backend pe bhi koi tutorial upload kr do please<br>❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤💘💘💘💘💘💘💘💘💘💘💘💘💘❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤"
754,ls -a cmd is not working for me... can anyone please clear my doubt...its showing that(&quot; paramater cannot be processed as parameter name a is ambiguous &quot;)
755,Thanks a ton ma&#39;am!!
756,Thank you apna college.. Apni vali feeling agayi.. haha
757,We need Javascript tutorial ma&#39;am. U have already made a tutorial on html and css so now its good time upload tutorial on Js.
758,Didi javascript padhaye aap
759,thank you for this tutorial. respected mam you are really a good teacher and doing very good job.thank you
760,"This video is very awesome......I understood everything...I was facing a lot of problems and time learning git/github...but the way you explained, I understood it very easily......thanks for the effort you make teaching hundreds and thousands even much more and explaining it in a simplified manner"
761,Please make  FIREBASE  one shot which fully explains the Firebase.
762,Thank you So much Shraddha Didi....God Bless you and your Family
763,Didi make a video on Linux
764,Thank you so much  didi
765,Helpful to enhance my knowledge  😇
766,"I can&#39;t seen my hidden list file @<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2463"">41:03</a><br>Whenever I type&quot;ls -a&quot;<br>It shows me this statement👇<br>&quot;Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: -Attributes -Directory -File -Hidden -ReadOnly -System.&quot;"
767,Awesooomeee Explaination didi❤ Thankyou!😇
768,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1408"">23:28</a>"
769,"In <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1430"">23:50</a>, when I write git --version in the terminal of VS Code, I get this error: - &quot; C:\MinGW\bin : The term &#39;C:\MinGW\bin&#39; is not recognized as the name of a cmdlet, function, script file, or operable program. Check the spelling of the name, or if a path was <br>included, verify that the path is correct and try again.<br>At line:1 char:1<br>+ C:\MinGW\bin git --version<br>+ ~~~~~~~~~~~~<br>    + CategoryInfo          : ObjectNotFound: (C:\MinGW\bin:String) [], CommandNotFoundException<br>    + FullyQualifiedErrorId : CommandNotFoundException&quot; <br><br>ANYONE GOT THE SOLUTION??"
770,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1958"">32:38</a>"
771,"I am facing a problem , In resolving conflicts part , when you add button in Feature1 then you switched to main , it showed that there was no button thing in main , but  When I switched from feature1 to main , the button thing was still there as in Feature and main"
772,"mam please make a video on Spring MVC and React.js , please mam 🙏"
773,superb explanation
774,Maja aa gya<br>Thanku Didi for such a great content
775,Thank for sharing I was waiting for this
776,Didi cloud computing ki uper ek playlist/course bana di jiye
777,Best video ever which clear all confusions
778,Thank you ❤
779,Thanks
780,Please make a video on API like this video with example
781,Git and GitHub to sikh gaye lekin ab aage kya? Isska hum students kya use kare?
782,plz make a vedio on job switch
783,My  &quot; ls -a&quot; command doesn&#39;t work in terminal. Window system. Please solve my problem.
784,Hello ma&#39;am make ake a video on Power BI and Python  too
785,"at <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1425"">23:45</a> when i open terminal <br>it&#39;s showing:  PS C:\Users\NEW\Desktop\GITDEMO&gt;<br>not my user name means git is not accessible by vs code pls help"
786,@ApnaCollegeOfficial Hello mam<br>I am getting an error on push request as :<br>git push origin main<br>Error : src refspec main does not match any<br>Error: failed to push some refs to origin<br>Please resolve it if possible 🙏
787,"Useful , Thank you so much!!"
788,shrada didi ye video mere liye to bahut helful he  muze thoda bahut git ata tha lekin is video ko dekhne ke ba baad mene git ko thoda acche se shik liya
789,It shows destination path &quot;name of project &quot; already exist and is not empty directory why
790,"git branches <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2976"">49:36</a>"
791,great
792,Ma&#39;am when I installed Git I can&#39;t understand why my commands showing error ad I am seeing 3 different types of git
793,Thank You!!!Really really useful
794,command :    ls -a             is not working.......
795,best explanation. loved it
796,Your way of teaching is really crisp and clear. Thank you so much for a wonderful session.
797,please create os and cns one shot video
798,"when I run ls -a command in my terminal it gives error <br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous. Possible matches include: -Attributes <br>-Directory -File -Hidden -ReadOnly -System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingException<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChildItemCommand<br><br>have anyone also having this issue, how to resolve it"
799,I&#39;m facing issue to link email plz help git config --global user email&quot;email id&quot; this code will not add the email
800,Notes kise download kare apna college ka ye git hub vala
801,Power BI tutorial
802,THANK YOU
803,"On creating Pull Request<br><br>Specify Rules and regulations<br>That&#39;s how actually<br>The official PR look&#39;s likeee<br><br>Example check list<br><a href=""http://www.youtube.com/results?search_query=%23code"">#code</a><br>Detailed description ..."
804,Dbms pe bhi ek tutorial bna do
805,Thanks for such amazing tutorial
806,Well explained Shrada ❤
807,anyone please help----<br>kya ham folder ke andar folder bana sakte hai ? github pr?
808,mja agya 🤩🤩 lots of new thing for learn 😋..thank u di
809,Wow Wowww Wowwwww!!!
810,good explanation
811,javascript in one shot please
812,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1384"">23:04</a>"
813,Mere vs code m ctrl+shift+ v se paste hota h
814,Please English  subtitles
815,"video + Your examples.<a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>🤩"
816,Thank you mam ❤
817,I like you.
818,Please make a video on GitHub Actions...
819,"Thanks Shradha didi, it was ver useful for me"
820,didi can you please make video on protfolio.
821,"This has been an amazing tutorial, it has helped me get started with github and only practice will make me progress. <br>But I have a question ( might sound very silly but  know that i am no programmer and am just starting with coding) , How do i move the projects i created in other code editors such as jupyter etc to github?"
822,If you are having an error with &quot;ls -a&quot; then use either &quot;ls -la&quot; OR &quot;ls -force&quot;
823,"Do we need to configure git everytime we use it or just once @<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1215"">20:15</a> , I only have one account"
824,Javascript plzzz......
825,"Hi  Shradha, thanks for this detailed session. Super helpful!!<br>I am facing one issue - getting error while using ls -a command in VS but not sure why. Could you please guide me what&#39;s going wrong?"
826,I WANT TO JOIN A TEAM😢
827,Didi what is communities n how to search  ..where to search ..n how to choose plz guide me as am 1 st  sem student
828,Please make Video English
829,I want change git bash configuration i.e. email and password<br>how can I do that?
830,Ma&#39;am please Java  netbeans par ek video banayiye
831,"How do you save the changes @<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1725"">28:45</a>"
832,When you also make a video on GitHub code spaces because with that we can even code on our mobiles <br>🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏<br>(like idk if we can code in mobile or not but the GitHub does claim it)
833,"hello Guys is it  -&gt;  ls -a are cmd is working in you  Systems  because it not woking in my system<br>tho<br>this Error Pop up in command <br>-------------------------------------------------------------------------------------------------------------------------------------------------------<br>Get-ChildItem : Parameter cannot be processed because the parameter    <br>name &#39;a&#39; is ambiguous. Possible matches include: -Attributes <br>-Directory -File -Hidden -ReadOnly -System."
834,Yaar yai kitni awesome hai<br>Shukriya bhot bhot ❤
835,How to freelance in Data science ❓
836,Maam cyber security and ethical hacking in one video please🙏🙏🙏
837,By far the best git and github tutorial I have come across on yt :)
838,Plz share sql connection on local server
839,scratch matlab basics ko bolte or mein scratch ko dhundti hu vo har bar scratch ko programming language hi batata hai😒😒😒
840,happy teacher day shraddha mam
841,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1987"">33:07</a>"
842,Fabulous tutorial
843,Thank you for this amazing info..But there is more simple way to stage and commit our changes and also to create branches.
844,Loved the way of your simple explanation of complex things.
845,"kisi ko pta h , macos vs code  me is video me konsa font use kiya h?"
846,"Mam, &quot; ls -a &quot; is not working in my Visual studio code&#39;s Terminal, What should i do now ? It&#39;s showing an error that  Parameter cannot be processed because the parameter name &#39;a&#39; is ambiguous."
847,is anybody facing the issue of ls -a in windows
848,Thankyou soo much
849,thanks for this lecture mam
850,Thank you for this wonderful video....I really needed it. Happy teachers day to you mam.
851,"Thanks didi i really gained a lot from this...<a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a>"
852,Thanks Shradha Ma&#39;am. This tutorial cleared all my doubts.
853,Perfectly understood clearly 👍 thanks ma&#39;am
854,didi 20 mints se may mac may start kardiya mera jo fuse pura chalagaya<br>kya kardiya
855,Thanks ma&#39;am
856,"Hi all,<br><br>Thank you so much. the explanation is amazing. When I tried  ls <del>a  command, I got the below error</del>  <br><br>Get-ChildItem : Parameter cannot be processed because the parameter name &#39;a&#39; is <br>ambiguous. Possible matches include: -Attributes -Directory -File -Hidden -ReadOnly     <br>-System.<br>At line:1 char:4<br>+ ls -a<br>+    ~~<br>    + CategoryInfo          : InvalidArgument: (:) [Get-ChildItem], ParameterBindingEx  <br>   ception<br>    + FullyQualifiedErrorId : AmbiguousParameter,Microsoft.PowerShell.Commands.GetChil  <br>   dItemCommand<br><br><br>Did anyone encounter a similar error? Any leads would be appreciated."
857,"Changing master to main - <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2788"">46:28</a>"
858,Somehow your speaking speed changed to twice the normal. It changed for few minutes and now it is back again to the normal speed. Could be an issue with my machine. Could you check on your side? Thanks.
859,Javascript video vejo please 🙏
860,Tnx❤
861,"just a request: there are lot of Mac users, can please make specific content just for Mac users, because it hard to find content just for Mac"
862,Thank You Shradha Didi for your wonderful class on Github and Git ... this class was awesome and i really liked the way you took the examples...by related each and everything with real life<br>Thank You😍😍
863,How to make friends??
864,Can you make the same video on Apache Kafka?
865,"Thanks for the video,,Pls make advance video on git commnads and merging conflicts resolution..."
866,Your way of explaining is very good.please make complete vedio on source tree.
867,Thank you so much for this wonderful tutorial.
868,If you still use cli in 2023! Youre already outdated 😂
869,Great work 👍
870,25.38<br>..
871,Very crisp and solid tutorial. Helpful and easy to understand. 👌
872,Please make flutter tutorial
873,"For those who face problem with &quot;ls -a&quot; command.<br>To fix this, just change your terminal from powershell to git bash in Vs code."
874,Great Zindabad
875,Didi ye batao ki robot ko program kaise kiya jata hai unhe kaise bataya jata hai ki tum kya kam karo jaise ki Boston dynamic and Tesla and dip maind jaise robot ko kaise program kaise kia jata hai batao please please didi please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please please
876,One one the best GitHub tutorial on YouTube. ❤❤❤
877,Absolutely Helpful!
878,ls-a is not working on windows
879,Ma&#39;am PLEASE Javascript in 1 shot pdhado
880,best video ever seen for git and GitHub😀
881,"Hie guys, I am trying to push code to GitHub, but unfortunately, I am stuck with an error :- &quot;Enter passphrase for key &#39;/Users/------/.ssh/id_ed25519&#39;: &quot; Could anyone guid me how to solve this? <br>Video :- <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2850"">47:30</a><br>tyr code :- git push origin main"
882,very very helpful course for self learner......
883,Nice explanation
884,Kab hoga delta 2.0 ka class
885,I&#39;m going to learn Git with your video.<br>best regards from panama 🇵🇦
886,Very useful information about git and github. <br>Thank you so much madam_ji😊🙏
887,Thank you soo much... This video was much needed
888,Much appreciated
889,JavaScript also didi 🙏🙏
890,Mam which coding language is faster and what about Java can i start with this language it is good ❓
891,finally best i found here
892,Why worry of not getting into good college ? when shradha didi is with us.
893,Mam me delta 2.0 me enrolled hu but mujhe lectures show nhi horahe mene email bhi ki h magar koi reply nhi aya. Please resolve my issue.
894,what an insightful tutorial you have here. One of the best videos to understand the Git workflow and even practice the same on the fly. No wonder you have 4M+ subscribers. You are going places. Trust me.
895,you are the one who is only one . thankx for that
896,i like it
897,Hi I am using windows 10 but &quot; ls -a &quot; command is not working in my system. could you please help to resolve this issue. Thank you in advance
898,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2172"">36:12</a>"
899,"Didi pls bring more such content , meaning long hour videos . Your SQL video too good.<br>I didn&#39;t have any idea about the SQL , and then I watched your video , it was very informative. It is a request to you and the apna college team to pls bring more content on 3rd year. It would be really helpful.<br><br>💌💌💌💌💌"
900,@ApnaCollegeOfficial Hi mam! i am from pakistan ..your notes require a signup and i think it requires an indian number also due to which we cant download the notes can you help us somehow with it?
901,please make a series of oops with c++
902,Mam Maine payment kr diya 5999 rupay par course nhi mila
903,Thanks 🙏🙏🙏🙏🙏🙏🙏🎉
904,"Great video, can you please talk about rebase also, or commands to make changes to already made commits"
905,By far the best git tutorial I&#39;ve seen 👍
906,Hi  Mam please make the video based on javascript. I&#39;m waiting from long time
907,Hi  Mam please make the video based on javascript. I&#39;m waiting from long time
908,Hi  Mam please make the video based on javascript
909,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w"">0:00</a> Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=67"">1:07</a> Git Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=300"">5:00</a> GitHub Introduction<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=445"">7:25</a> Setting Up GitHub<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=986"">16:26</a> Setting Up Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1213"">20:13</a> Configuring Git<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1383"">23:03</a> Working with VS Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1442"">24:02</a> Clone and Status<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1943"">32:23</a> Add and Commit<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2155"">35:55</a> Push Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2371"">39:31</a> Init Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2949"">49:09</a> Work Flow<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2976"">49:36</a> Git Branches<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3085"">51:25</a> Branch Commands<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3355"">55:55</a> Merging Code<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3432"">57:12</a> Pull Request<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3616"">1:00:16</a> Pull Command<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3650"">1:00:50</a> Resolving Merge Conflicts<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=3931"">1:05:31</a> Undoing Changes<br><a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4284"">1:11:24</a> Fork"
910,git ignore topic is missed anyways it was nice tutorial
911,please make video for<br> DEvops
912,Thank you didi.
913,🎉🤩👏
914,I am from first year CSE from tier 3 college anyone pls guide me i will be so grateful to you.
915,"Many Many Teacher in That worlds, but how explain  concept  of the topic,  super awesome..  Madam you are top Level..  2nd  i want to join delta 2.0 , but that time have some issues,,    Keep your Journey,,,    after that  a lot of THANKS..."
916,don&#39;t call DIDI 😋
917,BEST GIT TUTORIAL ; https://www.youtube.com/watch?v=aCuZLOgStvQ&amp;list=UULF7lXg1Uy43UP1bN7LIp_Rzg
918,"Usually I don&#39;t hit like button....but this time,,,,what a masterpiece explanation❤"
919,Great 👍😊
920,"One of the Greatest Explanations &#39;That I Have Seen On YouTube&#39;, Thank You"
921,Developer ko hi nahi tester ko bhi jaruri hai git pata hona.
922,Please Javascript One Shot Video Please..
923,Plz add some financial aid options in alpha plus
924,"The best video on internet for Git and Github, Thanks ❤"
925,mern stack course
926,Already millions of videos on this on YouTube..
927,Thank you so much for giving detail explanation about git and git hub.pls explain about Jenkins  in the same way to clear my doubts
928,Mam please make javascript tutorial like you have made css for us
929,Sharadha di mene delta 2.0 ki payment kr di but course nhi mila😢😢😭😭 m kya kru ab<br>https://youtu.be/_8O-ZN2pvOo?si=e4KneE47ld7R6vXw
930,Didi full JavaScript course plz plz
931,thank u apna college.....kaafi waqt s smjhna tha kha se shuru kha khtm hoga pta bhi nhi tha kai baar start bhi kra  but this time i started and completed with practice
932,"when I push local repo to remote repo, it ask username and password again and again....<br>what should I do...?"
933,You did great job Saradha. Awesome   video and very knowledgeable. Thank you to making this. Can you make one video on Jenkins pls?
934,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1212"">20:12</a> / <a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=4521"">1:15:21</a>"
935,when we are using ls -a in windows<br>parameter cannot be processed ... like that some error message is showing...<br>What to do for that ?
936,Shadda mam plz JavaScript padha de plz plz plz
937,Didi Please MongoDb ka ek full tutorial bana dijiye
938,Didi please make video on react js  with project and  how to build a project as a beginner
939,Shraddha didi plz batayiye agr mujhe mca krna hai after bsc mathematics to mca ke pehle kya kya seekhna padega mujhe?
940,I create a file then do some changes then i add then commit then push but in local the file shows me M (Modified) why?<br>😭😭
941,Thank you Shradha mam for this amazing tutorial ❤
942,can someone suggest me ?
943,ls -a isn&#39;t working in my windows laptop why?
944,"Audio is too loud, sometimes unclear and the voice isn&#39;t smooth ! The speaker is louder than needed and losing voice clarity!"
945,i am getting error on {ls -a} command
946,"Best Video on git<a href=""UCkszU2WH9gy1mb0dV-11UJg/8P50XuS9Oo7h8wSqtIagBA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/8P50XuS9Oo7h8wSqtIagBA""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/8P50XuS9Oo7h8wSqtIagBA""></a>"
947,"Great intro video<br>Can you make a video on you contributing to a frontend project, so that we can learn more about pull request N fork"
948,ls -a mere me work nhi kr rha h aur LocalRepo ban gya h uske andar hm chle jaa rhe cd LocalRepo ka use krke lekin iss naam ka koi folder show nhi kr rha h apnacollege-demo ke niche
949,Can you please make videos on informatica mdm please please
950,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=2300"">38:20</a>"
951,Didi aap aapne course main certificate nhi dengi ky ?
952,Make video on manual testing selenium  testing
953,Mam please upload the slides also.
954,most help full content for all IT department coding learner
955,Alpha ka new course kab aayega  ?
956,Devops interview preparation course please
957,While configuring git it&#39;s showing error  (no such job) what do i do ?
958,Thanks mam..for the video..
959,"<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=786"">13:06</a>"
960,"Plz mam ,start php series"
961,Mam pls speak in English mam
962,😃😃
963,"can anyone help ?@<a href=""https://www.youtube.com/watch?v=Ez8F0nW6S-w&amp;t=1430"">23:50</a> it is showing git is not recognized"
964,tutorial for javascript
965,"Girl, ~ represents Home directory not Root Directory in Unix Like OS including MAC OS"
966,Linux operating system ka video banao didi...aap bhut ache se explain karte ho .....🙏
967,Thankyou mam
968,A video on notion
969,please javaScript pe aik pori video banao we are waiting most ...
970,Much needed session didi😊
971,Please make a video on Git using Pycharm.
972,please creat a Crouse about coding competition
973,Di please tell how to manage college subjects plus Web development (learning self)
974,Waiting for it.😊 Thanks to Shradha didi and apna College.
975,Can you please make a complete tutorial on java script
976,wonderful.. Best explanation to the point...Covered almost every concepts.. best tutorial Thanks lot
977,"This is a wonderful place to learn but it is sad that the language used here is hindi, please can you help by adding subtitles to all your videos so that others dont speak hindi can follow up and understand."
978,Didi We want a full course on javascript
979,Is it good to join in nxtwave ccbp4.0 please give me your suggestion didi 🥲
980,ma&#39;am  ls -a  command is not working on my vs code can you tell how to fix it. I am not able to see git hidden file.
981,ls -a command not working
982,thank you so much for value able video
983,I completed this tutorial today thank you.
984,I never imagined this type of knowledge for free but it&#39;s all possible because of you.❤<br>Can&#39;t thank enough to you shradha didi.❤
985,"Ma&#39;am ,  can you please upload a video on roadmap of cloud computing if possible...please mam"
986,m bhi soch rha hu ki tumhari video dekh k coding Sikh lu padai toh Hui nahin mujhse
987,Didi please make  videos about all DEVOPS Tools please please
988,JavaScript oneshot video leke aaya didi
989,CS 1st year in nit road map for crack Google
990,Mam please mongodb par AK one shot bana do
991,I am an Delta 2.0 students please make video on time table and details of code
992,Please Start Python complete series from Basic to advance like C++ which is covered
993,mam tablue ya  power bi pe v nikal do video
994,Great content... !!!
995,"One of the Best Channel Ever.....<a href=""UCkszU2WH9gy1mb0dV-11UJg/ePgfY-K2Kp6Mr8oP1oqAwAc""></a>"
996,Hello mam!<br>Are lectures are recorded and can i join session bit late?<br>From Pakistan ❤️
997,Please upload Java Script one short Video
998,Please upload Java Script one short Video
999,Maam SaaS kya hota hai ek video us par bhi bana do
